AirQualityStation,UnitOfMeasurement,mean
STA.DE_DEBW042,µg/m3,19.333333329
STA.DE_DEBE051,µg/m3,22.71420372688666
STA.DE_DEBY120,µg/m3,24.03425151018705
STA.DE_DEBY119,µg/m3,22.73432423436155
STA.DE_DEBW015,µg/m3,20.287439609
STA.DE_DERP019,µg/m3,17.967296549081635
STA.DE_DERP020,µg/m3,18.63917141683036
STA.DE_DENW136,µg/m3,26.44762068590517
STA.DE_DENI020,µg/m3,16.213749936195963
STA.DE_DEUB029,µg/m3,15.979028982086955
STA.DE_DEUB030,µg/m3,16.907449564092218
STA.DE_DEST029,µg/m3,21.86098578066187
STA.DE_DEBE032,µg/m3,22.67377331077475
STA.DE_DEST015,µg/m3,20.83153928672464
STA.DE_DETH018,µg/m3,19.8034556520977
STA.DE_DEHE054,µg/m3,17.628999997
STA.DE_DEUB030,µg/m3,17.293438545
STA.DE_DEUB029,µg/m3,14.384186007
STA.DE_DEBY037,µg/m3,24.10668422449068
STA.DE_DESN074,µg/m3,18.57971798230216
STA.DE_DENI062,µg/m3,18.349246510378457
STA.DE_DENI071,µg/m3,21.175881796666665
STA.DE_DEBY068,µg/m3,34.243119356910924
STA.DE_DEST044,µg/m3,20.08850076538905
STA.DE_DEBY012,µg/m3,19.470879924992825
STA.DE_DEBW019,µg/m3,22.18350071364419
STA.DE_DEBW024,µg/m3,18.57083332972701
STA.DE_DENI041,µg/m3,17.741846232037304
STA.DE_DEHE037,µg/m3,19.92713122142037
STA.DE_DENW058,µg/m3,20.49678848541007
STA.DE_DEBW038,µg/m3,18.176932363
STA.DE_DEBB021,µg/m3,26.05925394210904
STA.DE_DEBB064,µg/m3,22.39999999566667
STA.DE_DEBW033,µg/m3,17.873188401666667
STA.DE_DEST011,µg/m3,19.27054371028902
STA.DE_DESN061,µg/m3,24.607666661333333
STA.DE_DESN059,µg/m3,18.165459165007707
STA.DE_DEBE065,µg/m3,29.637744249267243
STA.DE_DESN061,µg/m3,24.551446835747125
STA.DE_DEBW107,µg/m3,20.078129492546765
STA.DE_DESN006,µg/m3,23.125666663
STA.DE_DEBW136,µg/m3,24.864734296
STA.DE_DEHE049,µg/m3,21.39436966362984
STA.DE_DEHE050,µg/m3,15.168618021578194
STA.DE_DENW074,µg/m3,30.409999997
STA.DE_DESH023,µg/m3,23.090422676730487
STA.DE_DETH081,µg/m3,24.865758741979917
STA.DE_DEHE051,µg/m3,13.93436264482066
STA.DE_DEBY033,µg/m3,20.26944645939655
STA.DE_DENI029,µg/m3,21.226559516103897
STA.DE_DEBW023,µg/m3,12.884582129409225
STA.DE_DENI063,µg/m3,18.60861787713669
STA.DE_DENW022,µg/m3,23.12666666133333
STA.DE_DETH027,µg/m3,14.87844960037464
STA.DE_DENI058,µg/m3,18.313989707948352
STA.DE_DEBW022,µg/m3,19.625963145343384
STA.DE_DESN025,µg/m3,27.85233333
STA.DE_DEBY032,µg/m3,18.22180827236729
STA.DE_DENW081,µg/m3,21.65333333133333
STA.DE_DEHH016,µg/m3,25.28143916550445
STA.DE_DEBW027,µg/m3,18.351851848000003
STA.DE_DERP023,µg/m3,22.35892570592806
STA.DE_DEMV026,µg/m3,24.2141178125431
STA.DE_DEBE061,µg/m3,31.362969867101867
STA.DE_DENW021,µg/m3,23.81379309896552
STA.DE_DENW254,µg/m3,22.106896547931036
STA.DE_DEHE131,µg/m3,23.231909406657103
STA.DE_DEHB002,µg/m3,20.70739130111594
STA.DE_DEHH081,µg/m3,21.63688011385965
STA.DE_DEST112,µg/m3,23.92661139966667
STA.DE_DEST112,µg/m3,26.68644875460545
STA.DE_DESN079,µg/m3,20.145333330000003
STA.DE_DEBW081,µg/m3,19.25654675906475
STA.DE_DEHB004,µg/m3,19.936743181506458
STA.DE_DEHE057,µg/m3,17.440999993
STA.DE_DEHE028,µg/m3,12.996269907366909
STA.DE_DESH022,µg/m3,28.217530843027266
STA.DE_DENW040,µg/m3,18.546666663333333
STA.DE_DESH015,µg/m3,23.88285631837644
STA.DE_DEBE034,µg/m3,26.3706456202726
STA.DE_DENW059,µg/m3,19.344225305200617
STA.DE_DEHE037,µg/m3,20.156999998
STA.DE_DENI143,µg/m3,23.574882193589
STA.DE_DEHH008,µg/m3,21.86373070754917
STA.DE_DENW367,µg/m3,23.00348923608321
STA.DE_DENW024,µg/m3,25.55165853308465
STA.DE_DERP022,µg/m3,18.316666664166664
STA.DE_DEMV020,µg/m3,32.13194117294118
STA.DE_DEMV019,µg/m3,24.994599709483506
STA.DE_DEHE040,µg/m3,22.760186117890964
STA.DE_DETH042,µg/m3,14.804544972212645
STA.DE_DESN051,µg/m3,20.645666664666667
STA.DE_DESN076,µg/m3,18.782333329333333
STA.DE_DEHH059,µg/m3,24.96050219958884
STA.DE_DEBW098,µg/m3,22.333333331
STA.DE_DEBW220,µg/m3,24.09118357133333
STA.DE_DENI016,µg/m3,17.777648720689655
STA.DE_DEHE056,µg/m3,19.817999994
STA.DE_DEBB065,µg/m3,20.76657101542324
STA.DE_DEHE063,µg/m3,19.888730616911545
STA.DE_DEMV025,µg/m3,27.346115104776977
STA.DE_DEBW046,µg/m3,18.74456521533333
STA.DE_DESN075,µg/m3,22.852999996
STA.DE_DEHE005,µg/m3,20.23498896378766
STA.DE_DEHE022,µg/m3,17.373999995
STA.DE_DEBB044,µg/m3,30.474748920129127
STA.DE_DESN084,µg/m3,25.72866666366667
STA.DE_DEBW031,µg/m3,12.854034578587896
STA.DE_DEST098,µg/m3,16.461825078424855
STA.DE_DEBW031,µg/m3,10.864130429333333
STA.DE_DERP060,µg/m3,17.383025427597126
STA.DE_DEBW125,µg/m3,19.78240740533333
STA.DE_DESH023,µg/m3,22.604517237931034
STA.DE_DEBY122,µg/m3,11.181619175810615
STA.DE_DETH036,µg/m3,22.251170567819223
STA.DE_DEBW005,µg/m3,20.67258296883117
STA.DE_DESN019,µg/m3,24.204175788976944
STA.DE_DESN020,µg/m3,25.28218011182997
STA.DE_DEST104,µg/m3,19.770663177000003
STA.DE_DEBB075,µg/m3,26.01281197627288
STA.DE_DEST050,µg/m3,22.28500735252161
STA.DE_DESN076,µg/m3,18.44197405998559
STA.DE_DEBB073,µg/m3,26.052941172955524
STA.DE_DEBW013,µg/m3,17.884259256666667
STA.DE_DENW066,µg/m3,22.275771926578948
